ts,key,value
2024-01-04T11:20:01,0,2000.0
2024-01-04T11:20:02,0,2000.0
2024-01-04T10:02:14.773000,0,2000.0
2024-01-04T11:20:04,0,2000.0
2024-01-04T10:02:03.654000,0,2000.0
2024-01-04T11:20:06,0,2000.0
2024-01-04T10:02:09.697000,0,2000.0
2024-01-04T10:01:48.541000,0,2000.0
2024-01-04T11:20:09,0,2000.0
2024-01-04T11:20:10,0,2000.0
2024-01-04T11:20:11,0,2000.0
2024-01-04T11:20:12,0,2000.0
2024-01-04T11:20:13,0,2000.0
2024-01-04T10:02:00.292000,0,2000.0
2024-01-04T10:02:19.353000,0,2000.0
2024-01-04T11:20:16,0,2000.0
2024-01-04T11:20:17,0,2000.0
2024-01-04T10:02:09.705000,0,2000.0
2024-01-04T11:20:19,0,2000.0
2024-01-04T10:01:51.184000,0,2000.0
2024-01-04T10:02:13.876000,0,2000.0
2024-01-04T10:02:07.511000,0,2000.0
2024-01-04T11:20:23,0,2000.0
2024-01-04T10:02:02.243000,0,2000.0
2024-01-04T10:02:27.521000,0,2000.0
2024-01-04T11:20:26,0,2000.0
2024-01-04T10:02:26.280000,0,2000.0
2024-01-04T11:20:28,0,2000.0
2024-01-04T11:20:29,0,2000.0
2024-01-04T10:02:18.915000,0,2000.0
2024-01-04T10:02:38.705000,0,2000.0
2024-01-04T11:20:32,0,2000.0
2024-01-04T10:02:08.468000,0,2000.0
2024-01-04T11:20:34,0,2000.0
2024-01-04T10:02:29.846000,0,2000.0
2024-01-04T10:02:42.907000,0,2000.0
2024-01-04T10:02:13.759000,0,2000.0
2024-01-04T11:20:38,0,2000.0
2024-01-04T10:02:33.317000,0,2000.0
2024-01-04T11:20:40,0,2000.0
2024-01-04T11:20:41,0,2000.0
2024-01-04T10:02:41.145000,0,2000.0
2024-01-04T11:20:43,0,2000.0
2024-01-04T11:20:44,0,2000.0
2024-01-04T10:03:03.831000,0,2000.0
2024-01-04T10:02:44.987000,0,2000.0
2024-01-04T11:20:47,0,2000.0
2024-01-04T11:20:48,0,2000.0
2024-01-04T10:02:22.416000,0,2000.0
2024-01-04T10:02:24.746000,0,2000.0
2024-01-04T10:03:07.986000,0,2000.0
2024-01-04T11:20:52,0,2000.0
2024-01-04T10:02:58.668000,0,2000.0
2024-01-04T11:20:54,0,2000.0
2024-01-04T10:02:41.499000,0,2000.0
2024-01-04T10:02:58.421000,0,2000.0
2024-01-04T10:03:09.465000,0,2000.0
2024-01-04T10:03:08.776000,0,2000.0
2024-01-04T11:20:59,0,2000.0
2024-01-04T10:02:35.307000,0,2000.0
2024-01-04T10:02:46.760000,0,2000.0
2024-01-04T11:21:02,0,2000.0
2024-01-04T10:02:40.372000,0,2000.0
2024-01-04T10:02:37.429000,0,2000.0
2024-01-04T11:21:05,0,2000.0
2024-01-04T11:21:06,0,2000.0
2024-01-04T11:21:07,0,2000.0
2024-01-04T11:21:08,0,2000.0
2024-01-04T11:21:09,0,2000.0
2024-01-04T11:21:10,0,2000.0
2024-01-04T10:02:48.809000,0,2000.0
2024-01-04T10:03:27.832000,0,2000.0
2024-01-04T11:21:13,0,2000.0
2024-01-04T11:21:14,0,2000.0
2024-01-04T11:21:15,0,2000.0
2024-01-04T10:03:08.016000,0,2000.0
2024-01-04T11:21:17,0,2000.0
2024-01-04T11:21:18,0,2000.0
2024-01-04T10:03:38.015000,0,2000.0
2024-01-04T10:03:23.323000,0,2000.0
2024-01-04T11:21:21,0,2000.0
2024-01-04T10:03:12.731000,0,2000.0
2024-01-04T10:03:04.468000,0,2000.0
2024-01-04T11:21:24,0,2000.0
2024-01-04T10:03:20.195000,0,2000.0
2024-01-04T10:03:15.973000,0,2000.0
2024-01-04T11:21:27,0,2000.0
2024-01-04T10:03:33.756000,0,2000.0
2024-01-04T10:03:42.584000,0,2000.0
2024-01-04T10:03:28.031000,0,2000.0
2024-01-04T10:03:43.076000,0,2000.0
2024-01-04T11:21:32,0,2000.0
2024-01-04T11:21:33,0,2000.0
2024-01-04T10:03:25.663000,0,2000.0
2024-01-04T10:03:35.132000,0,2000.0
2024-01-04T11:21:36,0,2000.0
2024-01-04T11:21:37,0,2000.0
2024-01-04T10:03:51.529000,0,2000.0
2024-01-04T10:03:27.604000,0,2000.0
2024-01-04T10:03:18.479000,0,2000.0
2024-01-04T10:03:28.376000,0,2000.0
2024-01-04T10:03:30.637000,0,2000.0
2024-01-04T11:21:43,0,2000.0
2024-01-04T10:03:35.401000,0,2000.0
2024-01-04T10:03:56.250000,0,2000.0
2024-01-04T10:03:42.758000,0,2000.0
2024-01-04T10:04:06.372000,0,2000.0
2024-01-04T10:03:40.889000,0,2000.0
2024-01-04T11:21:49,0,2000.0
2024-01-04T11:21:50,0,2000.0
2024-01-04T10:03:33.636000,0,2000.0
2024-01-04T11:21:52,0,2000.0
2024-01-04T11:21:53,0,2000.0
2024-01-04T11:21:54,0,2000.0
